acpi-support-base	0.142-8
acpid	1:2.0.28-1+b1
adduser	3.115
apt	1.4.9
apt-utils	1.4.9
autoconf	2.69-10
automake	1:1.15-6
autotools-dev	20161112.1
base-files	9.9+deb9u8
base-passwd	3.5.43
bash	4.4-5
binutils	2.28-5
bsdmainutils	9.0.12+nmu1
bsdutils	1:2.29.2-1+deb9u1
busybox	1:1.22.0-19+b3
bzip2	1.0.6-8.1
ca-certificates	20161130+nmu1+deb9u1
cloud-guest-utils	0.29-1
coreutils	8.26-3
cpio	2.11+dfsg-6
cpp	4:6.3.0-4
cpp-6	6.3.0-18+deb9u1
cron	3.0pl1-128+deb9u1
curl	7.52.1-5+deb9u9
dash	0.5.8-2.4
debconf	1.5.61
debconf-i18n	1.5.61
debian-archive-keyring	2017.5
debianutils	4.8.1.1
dh-python	2.20170125
diffutils	1:3.5-3
distro-info-data	0.36
dmidecode	3.0-4
dmsetup	2:1.02.137-2
dpkg	1.18.25
e2fslibs:amd64	1.43.4-2
e2fsprogs	1.43.4-2
ethtool	1:4.8-1+b1
file	1:5.30-1+deb9u2
findutils	4.6.0+git+20161106-2
g++	4:6.3.0-4
g++-6	6.3.0-18+deb9u1
gcc	4:6.3.0-4
gcc-6	6.3.0-18+deb9u1
gcc-6-base:amd64	6.3.0-18+deb9u1
gdisk	1.0.1-1
gettext-base	0.19.8.1-2
git	1:2.11.0-3+deb9u4
git-man	1:2.11.0-3+deb9u4
gnupg	2.1.18-8~deb9u4
gnupg-agent	2.1.18-8~deb9u4
google-cloud-packages-archive-keyring	1.2-1
google-cloud-sdk	240.0.0-0
google-compute-engine	2.8.13-1
google-compute-engine-oslogin	1.5.1-1
gpgv	2.1.18-8~deb9u4
grep	2.27-2
groff-base	1.22.3-9
grub-common	2.02~beta3-5+deb9u1
grub-pc	2.02~beta3-5+deb9u1
grub-pc-bin	2.02~beta3-5+deb9u1
grub2-common	2.02~beta3-5+deb9u1
gzip	1.6-5+b1
hostname	3.18+b1
ifupdown	0.8.19
init	1.48
init-system-helpers	1.48
initramfs-tools	0.130
initramfs-tools-core	0.130
iproute2	4.9.0-1+deb9u1
iptables	1.6.0+snapshot20161117-6
iputils-ping	3:20161105-1
isc-dhcp-client	4.3.5-3+deb9u1
isc-dhcp-common	4.3.5-3+deb9u1
klibc-utils	2.0.4-9
kmod	23-2
kpartx	0.6.4-5+deb9u1
less	481-2.1
libacl1:amd64	2.2.52-3+b1
libapparmor1:amd64	2.11.0-3+deb9u2
libapt-inst2.0:amd64	1.4.9
libapt-pkg5.0:amd64	1.4.9
libasan3:amd64	6.3.0-18+deb9u1
libassuan0:amd64	2.4.3-2
libatomic1:amd64	6.3.0-18+deb9u1
libattr1:amd64	1:2.4.47-2+b2
libaudit-common	1:2.6.7-2
libaudit1:amd64	1:2.6.7-2
libblkid1:amd64	2.29.2-1+deb9u1
libbsd0:amd64	0.8.3-1
libbz2-1.0:amd64	1.0.6-8.1
libc-bin	2.24-11+deb9u4
libc-dev-bin	2.24-11+deb9u4
libc-l10n	2.24-11+deb9u4
libc6:amd64	2.24-11+deb9u4
libc6-dev:amd64	2.24-11+deb9u4
libcap-dev:amd64	1:2.25-1
libcap-ng0:amd64	0.7.7-3+b1
libcap2:amd64	1:2.25-1
libcc1-0:amd64	6.3.0-18+deb9u1
libcilkrts5:amd64	6.3.0-18+deb9u1
libcomerr2:amd64	1.43.4-2
libcryptsetup4:amd64	2:1.7.3-4
libcurl3:amd64	7.52.1-5+deb9u9
libcurl3-gnutls:amd64	7.52.1-5+deb9u9
libdb5.3:amd64	5.3.28-12+deb9u1
libdebconfclient0:amd64	0.227
libdevmapper1.02.1:amd64	2:1.02.137-2
libdns-export162	1:9.10.3.dfsg.P4-12.3+deb9u4
libdpkg-perl	1.18.25
libdrm-amdgpu1:amd64	2.4.74-1
libdrm-dev:amd64	2.4.74-1
libdrm-intel1:amd64	2.4.74-1
libdrm-nouveau2:amd64	2.4.74-1
libdrm-radeon1:amd64	2.4.74-1
libdrm2:amd64	2.4.74-1
libedit2:amd64	3.1-20160903-3
libegl1-mesa:amd64	13.0.6-1+b2
libegl1-mesa-dev:amd64	13.0.6-1+b2
libelf1:amd64	0.168-1
liberror-perl	0.17024-1
libestr0	0.1.10-2
libexpat1:amd64	2.2.0-2+deb9u1
libfastjson4:amd64	0.99.4-1
libfdisk1:amd64	2.29.2-1+deb9u1
libfdt-dev	1.4.2-1
libfdt1:amd64	1.4.2-1
libffi6:amd64	3.2.1-6
libfile-fcntllock-perl	0.22-3+b2
libfreetype6:amd64	2.6.3-3.2
libfuse2:amd64	2.9.7-1+deb9u2
libgbm1:amd64	13.0.6-1+b2
libgcc-6-dev:amd64	6.3.0-18+deb9u1
libgcc1:amd64	1:6.3.0-18+deb9u1
libgcrypt20:amd64	1.7.6-2+deb9u3
libgdbm3:amd64	1.8.3-14
libgl1-mesa-dev:amd64	13.0.6-1+b2
libgl1-mesa-dri:amd64	13.0.6-1+b2
libgl1-mesa-glx:amd64	13.0.6-1+b2
libglapi-mesa:amd64	13.0.6-1+b2
libgles1-mesa:amd64	13.0.6-1+b2
libgles1-mesa-dev:amd64	13.0.6-1+b2
libgles2-mesa:amd64	13.0.6-1+b2
libgles2-mesa-dev:amd64	13.0.6-1+b2
libglib2.0-0:amd64	2.50.3-2
libglib2.0-data	2.50.3-2
libgmp10:amd64	2:6.1.2+dfsg-1
libgnutls30:amd64	3.5.8-5+deb9u4
libgomp1:amd64	6.3.0-18+deb9u1
libgpg-error0:amd64	1.26-2
libgpm2:amd64	1.20.4-6.2+b1
libgssapi-krb5-2:amd64	1.15-1+deb9u1
libhogweed4:amd64	3.3-1+b2
libicu57:amd64	57.1-6+deb9u2
libidn11:amd64	1.33-1
libidn2-0:amd64	0.16-1+deb9u1
libip4tc0:amd64	1.6.0+snapshot20161117-6
libip6tc0:amd64	1.6.0+snapshot20161117-6
libiptc0:amd64	1.6.0+snapshot20161117-6
libisc-export160	1:9.10.3.dfsg.P4-12.3+deb9u4
libisl15:amd64	0.18-1
